작업 ID,주요 업무,세부 업무,담당자,상태,시작일,마감일,우선순위
1,기획 및 요구사항 정의,,,,,,
1.1,기획 및 요구사항 정의,프로젝트 기획,,,,,
1.1.1,기획 및 요구사항 정의,프로젝트 목표 및 문제 정의,"박소희, 배상준, 안수이, 오흥재, 왕혁준",완료,2025-12-22,2025-12-24,아주 높음
1.1.2,기획 및 요구사항 정의,프로젝트 기획서 작성,전체,진행중,2025-12-22,2025-12-26,아주 높음
1.1.3,기획 및 요구사항 정의,요구사항 정의서 (초안) 작성,전체,진행중,2025-12-22,2025-12-26,아주 높음
1.1.4,기획 및 요구사항 정의,WBS 작성,전체,진행중,2025-12-22,2025-12-26,아주 높음
1.2,기획 및 요구사항 정의,기술 스택 조사,,,,,
1.2.1,기획 및 요구사항 정의,필요 기술 조사,전체,진행중,2025-12-23,2025-12-27,높음
1.2.2,기획 및 요구사항 정의,기능별 구현 가능성 검토,전체,진행 예정,2025-12-26,2025-12-29,높음
1.2.3,기획 및 요구사항 정의,기술 스택 확정,전체,진행 예정,2025-12-28,2025-12-30,아주 높음
2,데이터 수집 및 전처리,,,,,,
2.1,데이터 수집 및 전처리,데이터 수집 기획,,,,,
2.1.1,데이터 수집 및 전처리,데이터 수집 가능성 검토,전체,진행중,2025-12-23,2025-12-27,아주 높음
2.1.2,데이터 수집 및 전처리,데이터 수집 계획 수립,전체,진행 예정,2025-12-24,2025-12-28,아주 높음
2.1.3,데이터 수집 및 전처리,데이터 베이스 설계 문서 작성,,진행 예정,2025-12-26,2025-12-29,아주 높음
2.2,데이터 수집 및 전처리,카드사 문서 수집,,,,,
2.2.1,데이터 수집 및 전처리,카드사 FAQ 데이터 수집,,진행 예정,2025-12-27,2026-01-03,아주 높음
2.2.2,데이터 수집 및 전처리,약관/정책 문서 크롤링,,진행 예정,2025-12-27,2026-01-03,아주 높음
2.2.3,데이터 수집 및 전처리,상담 시나리오 데이터 수집,,진행 예정,2025-12-28,2026-01-05,높음
2.3,데이터 수집 및 전처리,데이터 전처리,,,,,
2.3.1,데이터 수집 및 전처리,문서 전처리 및 청킹,,진행 예정,2025-12-30,2026-01-05,아주 높음
2.3.2,데이터 수집 및 전처리,메타데이터 설계 및 태깅,,진행 예정,2026-01-01,2026-01-05,높음
2.3.3,데이터 수집 및 전처리,데이터 전처리 문서 작성,,진행 예정,2025-12-30,2026-01-05,아주 높음
2.3.4,데이터 수집 및 전처리,인공지능 데이터 전처리 결과서 작성,,진행 예정,2025-12-30,2026-01-05,아주 높음
3,AI 모델 개발,,,,,,
3.1,AI 모델 개발,STT (음성 인식) 시스템,,,,,
3.1.1,AI 모델 개발,STT 모델 선정 (상용 vs 오픈소스),,진행 예정,2025-12-28,2026-01-03,아주 높음
3.1.2,AI 모델 개발,STT 정확도 테스트 및 검증,,진행 예정,2026-01-01,2026-01-05,아주 높음
3.1.3,AI 모델 개발,실시간 음성-텍스트 변환 구현,,진행 예정,2026-01-03,2026-01-10,아주 높음
3.1.4,AI 모델 개발,STT 성능 최적화,,진행 예정,2026-01-08,2026-01-12,높음
3.1.5,AI 모델 개발,화자 분리 기능 구현,,진행 예정,2026-01-06,2026-01-12,중간
3.2,AI 모델 개발,RAG (검색 증강 생성) 시스템,,,,,
3.2.1,AI 모델 개발,벡터 DB 구축,,진행 예정,2026-01-01,2026-01-05,아주 높음
3.2.2,AI 모델 개발,임베딩 전략 설계,,진행 예정,2025-12-28,2026-01-03,높음
3.2.3,AI 모델 개발,RAG 파이프라인 설계,,진행 예정,2025-12-30,2026-01-05,아주 높음
3.2.4,AI 모델 개발,RAG 파이프라인 구현,,진행 예정,2026-01-01,2026-01-08,아주 높음
3.2.5,AI 모델 개발,하이브리드 검색 구현,,진행 예정,2026-01-05,2026-01-10,높음
3.2.6,AI 모델 개발,RAG 성능 테스트 및 평가,,진행 예정,2026-01-08,2026-01-12,높음
3.3,AI 모델 개발,감정 분석 시스템,,,,,
3.3.1,AI 모델 개발,감정 분석 모델 선정/개발,,진행 예정,2026-01-01,2026-01-08,아주 높음
3.3.2,AI 모델 개발,음성 톤 기반 감정 인식,,진행 예정,2026-01-03,2026-01-10,높음
3.3.3,AI 모델 개발,텍스트 기반 감정 분석,,진행 예정,2026-01-03,2026-01-10,높음
3.3.4,AI 모델 개발,통화 중 감정 분석 (백그라운드),,진행 예정,2026-01-06,2026-01-12,높음
3.4,AI 모델 개발,LLM 통합 및 최적화,,,,,
3.4.1,AI 모델 개발,에이전트 로직 구성,,진행 예정,2026-01-05,2026-01-10,높음
3.4.2,AI 모델 개발,LLM 활용 소프트웨어 개발,,진행 예정,2026-01-06,2026-01-12,아주 높음
3.4.3,AI 모델 개발,프롬프트 엔지니어링,,진행 예정,2026-01-05,2026-01-12,높음
3.4.4,AI 모델 개발,파인튜닝 (선택적),,진행 예정,2026-01-08,2026-01-12,중간
3.4.5,AI 모델 개발,인공지능 학습 결과서 작성,,진행 예정,2026-01-06,2026-01-08,중간
3.5,AI 모델 개발,AI 모델 테스트,,,,,
3.5.1,AI 모델 개발,AI 모델 테스트 계획 수립,,진행 예정,2026-01-08,2026-01-10,높음
3.5.2,AI 모델 개발,통합 AI 모델 테스트,,진행 예정,2026-01-10,2026-01-12,높음
3.5.3,AI 모델 개발,AI 모델 테스트 결과 보고서 작성,,진행 예정,2026-01-11,2026-01-12,중간
4,시스템 설계,,,,,,
4.1,시스템 설계,시스템 아키텍처,,,,,
4.1.1,시스템 설계,시스템 아키텍쳐 (초안) 작성,,진행 예정,2025-12-30,2026-01-05,아주 높음
4.1.2,시스템 설계,시스템 구성도 설계,,진행 예정,2026-01-20,2026-01-26,높음
4.1.3,시스템 설계,프로젝트 구조 설계,,진행 예정,2026-01-06,2026-01-15,높음
4.2,시스템 설계,UI/UX 설계,,,,,
4.2.1,시스템 설계,UI 설계,,진행 예정,2026-01-06,2026-01-15,높음
4.2.2,시스템 설계,화면 설계서 작성,,진행 예정,2026-01-13,2026-01-20,높음
4.2.3,시스템 설계,사용자 경험 (UX) 최적화,,진행 예정,2026-01-10,2026-01-20,중간
4.3,시스템 설계,API 설계,,,,,
4.3.1,시스템 설계,API 명세서 작성,,진행 예정,2026-01-10,2026-01-20,높음
4.3.2,시스템 설계,RESTful API 설계,,진행 예정,2026-01-08,2026-01-15,높음
5,기능 구현,,,,,,
5.1,기능 구현,Frontend 개발,,,,,
5.1.1,기능 구현,Frontend UI 개발,,진행 예정,2026-01-16,2026-01-28,아주 높음
5.1.2,기능 구현,Frontend 기능 구현,,진행 예정,2026-01-20,2026-01-30,아주 높음
5.1.3,기능 구현,상담 후 감정 시각화 구현 (Page 3),,진행 예정,2026-01-22,2026-01-30,높음
5.2,기능 구현,Backend 개발,,,,,
5.2.1,기능 구현,Backend 기능 구현,,진행 예정,2026-01-16,2026-01-28,아주 높음
5.2.2,기능 구현,API 구현,,진행 예정,2026-01-16,2026-01-28,아주 높음
5.2.3,기능 구현,데이터베이스 연동,,진행 예정,2026-01-16,2026-01-25,아주 높음
5.3,기능 구현,회원 관리 시스템 (MBM),,,,,
5.3.1,기능 구현,회원가입 기능 구현,,진행 예정,2026-01-16,2026-01-22,높음
5.3.2,기능 구현,로그인/인증 시스템 구현,,진행 예정,2026-01-16,2026-01-22,아주 높음
5.3.3,기능 구현,권한 관리 시스템,,진행 예정,2026-01-18,2026-01-25,높음
5.3.4,기능 구현,프로필 관리 기능,,진행 예정,2026-01-20,2026-01-28,중간
5.4,기능 구현,실시간 상담 지원 (CSU),,,,,
5.4.1,기능 구현,실시간 대화 가이드 시스템,,진행 예정,2026-01-18,2026-01-28,아주 높음
5.4.2,기능 구현,자동 문서 검색 기능,,진행 예정,2026-01-18,2026-01-28,아주 높음
5.4.3,기능 구현,핵심 키워드 검색 기능,,진행 예정,2026-01-20,2026-01-30,높음
