요구사항 정의서,,,,,,,
,,,,,,,
분류,요구사항명,,,,요구사항 내용,비고,기능 유형
,대분류,중분류,요구사항 ID,소분류(기능설명),,,
회원,회원관리,회원가입,MBM-REG-001,계정 생성,"1. 회원가입 버튼을 누르면 정보를 입력할 수 있는 창을 표시한다.
2. 사번, 소속, 직급, 연락처, 비밀번호를 입력한다.
3. 관리자임을 확인할 수 있는 인증번호를 입력한다.","인증번호는 관리자 로그인 시 추가 비밀번호와 같은 역할을 한다.
일반 사원은 해당 정보를 기입하지 않는 것으로 계정 권한을 구분한다.",기능
,,,MBM-REG-002,회원 정보 저장 ,"1. 회원가입 완료 시, 가입 과정에서 기입한 정보를 데이터베이스에 저장한다.",,
,,로그인,MBM-AUTH-001,로그인 시도,"1. 로그인 버튼을 누르면 로그인을 할 수 있는 창을 표시한다.
2. 사용자는 사번과 비밀번호를 입력한다.
3. 관리자일 경우, 추가로 인증번호를 입력한다.",,
,,,MBM-AUTH-002,로그인 실패,"1. 입력한 정보 중 어느 한 쪽이 맞지 않을 경우, 경고 문구를 표시한다.
2. 경고 문구는 '입력한 정보가 올바르지 않습니다.'를 출력한다.
3. 입력 칸을 비우고, 로그인 시도 단계로 돌아간다.","사번, 비밀번호, 인증번호는 데이터베이스에 저장된 것으로부터 참조한다.",
,,,MBM-AUTH-003,로그인 성공,"1. 입력한 정보가 모두 정확할 경우, 소프트웨어 사용 권한을 활성화한다.
2. 소프트웨어의 메인 화면으로 이동한다.",,
,,로그아웃,MBM-AUTH-004,로그인 상태 비활성화,"1. 로그인 상태에서 로그아웃 버튼을 누르면 소프트웨어 사용 권한을 비활성화한다.
2. 로그인 하기 전의 상태로 간주하고, 로그인 시도 화면으로 이동한다.",,
,,계정 관리,MBM-ADM-001,사용자 계정 확인,"1. 사원 목록에서 사용자명을 누르면, 해당 사용자의 정보가 창으로 표시된다.
2. 확인 가능한 정보는 해당 사용자의 사번, 소속, 직급, 연락처, 권한으로 되어 있다.
3. 권한 정보는 일반 사원과 관리자 여부를 표시한다.",관리자 권한 필요 기능,
,,,MBM-ADM-002,권한 관리,"1. 사원 목록에서 사용자명을 오른쪽 클릭 시 권한 변경 메뉴를 표시한다.
2. 권한 변경 메뉴는 다음과 같다.
 - 일반 계정이라면 '관리자로 변경'을 표시한다.
 - 관리자 계정이라면 '일반으로 변경'을 표시한다.
3. 권한 변경 시도 시 확인 문구를 표시한다.
4. 확인 문구는 '해당 사용자의 권한을 변경하시겠습니까?'를 출력한다.
5. 확인 버튼을 누르면 해당 사용자의 권한이 변경된다.",,
,,,MBM-ADM-003,변경된 권한 저장,"1. 사용자의 권한이 변경될 경우, 데이터베이스에 저장된 해당 사용자의 '권한' 정보를 해당사항에 맞게 변경한다.",,
