Task ID,주요 업무,세부 업무,담당자,상태,시작일,마감일,우선순위,비고
,,,,,,,,
프로젝트 정보,,,,,,,,
프로젝트명,CALL-ACT (카드사 상담 지원 시스템),,,,,,,
작성자,"박소희, 배상준, 안수이, 오흥재, 왕혁준",,,,,,,
시작일,2025-12-18,,,,,,,
종료일,2026-02-11,,,,,,,
버전,v1.0,,,,,,,
,,,,,,,,
1,기획 및 설계,,,,,,,
1.1,기획,,,,,,,
1.1.1,,프로젝트 목표 및 문제 정의,"박소희, 배상준, 안수이, 오흥재, 왕혁준",완료,2025-12-22,2025-12-24,아주 높음,
1.1.2,,프로젝트 기획서 작성,,,2025-12-22,2025-12-26,아주 높음,
1.1.3,,요구사항 정의서 (초안) 작성,,,2025-12-22,2025-12-26,아주 높음,
1.1.4,,WBS 작성,,,2025-12-22,2025-12-26,아주 높음,
1.2,기술 스택 조사,,,,,,,
1.2.1,,필요 기술 조사,,,,,,
1.2.2,,기능별 구현 가능성 검토,,,,,,
1.2.3,,기술 스택 확정,,,,,,
1.3,데이터 수집 방법 조사,,,,,,,
1.3.1,,데이터 수집 가능성 검토,,,,,,
1.3.2,,데이터 베이스 설계 문서 작성,,,,2025-12-29,,
1.3.3,,데이터 전처리 문서 작성,,,,2026-01-05,,
1.3.4,,인공지능 데이터 전처리 결과서 작성,,,,2026-01-05,,
1.4,시스템 설계,,,,,,,
1.4.1,,시스템 아키텍쳐 (초안) 작성,,,,2026-01-05,,
1.4.2,,임베딩 전략 설계,,,,,,
1.4.3,,RAG 파이프라인 설계,,,,,,
,,,,,,,,
2,모델 개발,,,,,,,
2.1,AI 모델 개발,,,,,,,
2.1.1,,벡터 DB 구축,,,,,,
2.1.2,,RAG 파이프라인 구현,,,,,,
2.1.3,,에이전트 로직 구성,,,,,,
2.1.4,,LLM 활용 소프트웨어,,,,2026-01-12,,
2.1.5,,파인튜닝,,,,2026-01-12,,
2.1.6,,인공지능 학습 결과서 작성,,,,2026-01-08,,
2.2,AI 모델 테스트,,,,,,,
2.2.1,,테스트 계획,,,,2026-01-12,,
2.2.2,,테스트,,,,,,
2.2.3,,테스트 결과 보고서 작성,,,,2026-01-12,,
,,,,,,,,
3,설계,,,,,,,
3.1,화면 설계,,,,,,,
3.1.1,,UI 설계,,,,,,
3.1.2,,화면 설계서 작성,,,,2026-01-20,,
3.2,시스템 설계,,,,,,,
3.2.1,,시스템 구성도 설계,,,,2026-01-26,,
3.2.2,,프로젝트 구조 설계,,,,,,
3.2.3,,API 명세서 작성,,,,,,
,,,,,,,,
4,구현,,,,,,,
4.1,Frontend UI 개발,,,,,,,
4.1.1,,UI 개발,,,,,,
4.2,Backend 개발,,,,,,,
4.2.1,,기능 구현,,,,,,
4.2.2,,API 구현,,,,,,
4.3,Frontend 기능 개발,,,,,,,
4.3.1,,기능 구현,,,,,,
4.4,연결,,,,,,,
4.4.1,,"FE, BE 연결",,,,2026-02-04,,
,,,,,,,,
5,"인프라, 배포",,,,,,,
5.1,설계,,,,,,,
5.1.1,,인프라 설계,,,,,,
,,,,,,,,
6,테스트,,,,,,,
6.1,기능 테스트,,,,,,,
6.1.1,,기능 테스트,,,,,,
,,,,,,,,
7,최종 산출물,,,,,,,
,,,,,,,,
주요 마일스톤,,,,,,,,
산출물명,,,,,마감일,,디데이,
요구사항 정의서 (초안),,,,,2025-12-26,,D-0,
WBS,,,,,2025-12-26,,D-0,
프로젝트 기획서,,,,,2025-12-26,,D-0,
수집 데이터,,,,,2025-12-26,,D-0,
데이터베이스 설계 문서,,,,,2025-12-29,,D+3,
수집된 데이터 및 데이터 전처리 문서,,,,,2026-01-05,,D+10,
인공지능 데이터 전처리 결과서,,,,,2026-01-05,,D+10,
시스템 아키텍처,,,,,2026-01-05,,D+10,
인공지능 학습 결과서,,,,,2026-01-08,,D+13,
학습된 인공지능 모델,,,,,2026-01-08,,D+13,
LLM 활용 소프트웨어,,,,,2026-01-12,,D+17,
자체 LLM 인공지능 (파인튜닝),,,,,2026-01-12,,D+17,
테스트 계획 및 결과 보고서,,,,,2026-01-12,,D+17,
중간 발표 PT 자료 (프론트+백엔드),,,,,2026-01-13,,D+18,
중간 발표 리허설,,,,,2026-01-14,,D+19,
중간 발표,,,,,2026-01-15,,D+20,주요 마일스톤
요구사항 정의서 (최종),,,,,2026-01-20,,D+25,
화면설계서,,,,,2026-01-20,,D+25,
시스템 구성도,,,,,2026-01-26,,D+31,
개발된 LLM 연동 웹 애플리케이션,,,,,2026-02-04,,D+40,주요 마일스톤
최종 발표,,,,,2026-02-11,,D+47,주요 마일스톤
